ID;Pays;Poste;Région;Experience;Age;Sexe;Tremal exclusif;Maillant exclusif;Polyvalent trémail;Polyvalent maillant;AFE1;AFE2;AFE3.1;AFE3.2;AFE3.3;AFE3.4;AFE3.5;AFE4;AFE5;AFP1;AFP2;AFP3;AFP4;AFP5;AFP6;C2;C3;C4.1;C4.2;C4.3;C4.4;C4.5;C4.6;C4.7;C4.8;C4.9;CF1;CF2;CF3;CF4;CF5;CF6;CF7;CF8;IEIP1;IEIP2;IEIP3;IEIP4;INTU1;LDS1;LDS2;LDS3;LDS4;LDS5;LDS6;MOT1;MOT21;MOT3;MOT4;MOT5;MOT6;MOT7;MOT8;MOT9;NSUB1;NSUB2;NSUB3;NSUB4;NSUB5;NSUB6.1;NSUB6.10;NSUB6.11;NSUB6.12;NSUB6.13;NSUB6.2;NSUB6.3;NSUB6.4;NSUB6.5;NSUB6.6;NSUB6.7;NSUB6.8;NSUB6.9;UP2.1;UP2.2;UP2.3;UP2.4;UP2.5
FR1;FR;Armateur et patron-pecheur;Bretagne;;;;;;;;4;3;3;3;3;3;4;5;2;4;5;5;5;5;4;3;3;3;4;4;2;2;4;3;3;2;5;4;4;5;5;4;5;5;4;4;3;5;5;2;4;3;3;1;5;4;4;4;4;5;5;5;5;3;3;2;1;3;4;5;5;3;5;4;5;5;3;3;3;5;3;4;1;3;2;4;5
FR5;FR;Armateur et patron-pecheur;Normandie;;;Homme;;;;;3;4;5;5;5;5;5;3;3;3;3;4;4;5;3;1;1;5;5;5;5;5;5;5;5;5;4;4;5;5;4;3;3;3;4;5;3;4;3;1;4;3;1;3;4;3;3;4;3;3;4;4;4;3;3;4;2;2;3;3;3;3;3;4;2;2;2;3;3;3;2;3;1;2;3;4;5
FR7;FR;Armateur et patron-pecheur;Normandie;Plus de 20 ans;45-54;Homme;Non;Non;Non;Oui;3;2;3;3;3;3;3;4;3;3;2;5;5;5;3;1;1;4;5;4;3;3;5;5;5;3;5;1;5;5;5;4;4;4;5;3;3;2;5;2;4;2;2;1;5;3;5;5;3;5;5;5;5;4;3;2;2;2;4;3;5;3;4;4;3;3;3;3;3;3;3;4;2;1;3;4;5
FR9;FR;Armateur et patron-pecheur;Normandie;Plus de 20 ans;55-64;Homme;Non;Non;Oui;Non;4;2;4;3;3;3;4;5;2;4;5;3;4;2;3;1;3;4;4;4;4;3;4;4;4;4;4;2;5;4;4;3;4;4;5;4;2;4;4;2;3;4;3;3;3;3;4;4;2;4;4;4;4;4;4;2;3;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;2;1
FR10;FR;Matelot;Bretagne;Entre 10 et 15 ans;25-34;Homme;;;;;4;3;3;3;3;3;3;4;2;3;4;5;4;4;4;1;2;4;5;4;3;2;4;2;4;4;4;4;4;5;4;4;4;4;4;4;4;3;4;2;3;3;3;3;3;4;4;4;4;4;5;5;5;4;4;3;3;4;4;4;5;3;4;5;5;4;3;4;3;4;3;5;3;1;2;5;4
FR16;FR;Patron-pecheur;Haut de France;Plus de 20 ans;45-54;Homme;Non;Non;Non;Non;4;2;2;2;2;2;3;5;2;4;5;5;5;5;4;1;2;3;3;4;3;3;5;3;3;3;5;2;4;5;4;5;2;3;4;4;4;2;4;2;4;3;2;4;3;3;4;4;3;4;5;4;5;4;4;2;2;2;2;5;3;3;4;4;5;5;5;5;5;5;3;4;4;2;3;1;5
FR17;FR;Armateur et patron-pecheur;Autre;Entre 15 et 20 ans;55-64;Homme;;;;;4;4;2;2;2;2;3;5;5;4;3;4;5;5;4;4;3;3;3;3;4;5;5;4;5;4;5;5;4;5;5;3;5;5;5;5;5;1;4;2;4;3;3;3;2;5;5;4;5;4;5;5;5;5;4;2;5;5;5;4;5;3;5;5;2;5;3;3;3;3;3;5;3;1;2;4;5
FR19;FR;Patron-pecheur;Bretagne;Plus de 20 ans;55-64;Homme;;;;;5;2;3;3;3;3;3;4;4;3;3;4;5;5;3;5;4;4;4;3;2;4;5;2;3;4;2;3;5;5;5;5;4;4;4;5;5;4;4;1;5;4;4;2;3;3;4;5;4;5;5;4;5;4;4;2;3;4;4;5;5;5;5;5;3;3;3;3;3;3;2;5;5;1;2;3;4
FR20;FR;Armateur et patron-pecheur;Bretagne;Entre 15 et 20 ans;25-34;Homme;Non;Non;Non;Non;4;5;3;3;3;3;3;4;2;4;3;4;4;4;4;1;2;4;4;4;3;3;4;3;3;3;4;2;3;4;4;2;3;4;4;4;4;4;4;1;3;4;3;2;4;3;4;3;3;3;5;4;4;4;3;3;2;3;4;4;4;3;4;4;3;4;3;3;3;4;3;4;2;3;1;4;5
FR25;FR;Autres;Haut de France;Plus de 20 ans;35-44;Homme;;;;;4;1;3;3;3;2;4;3;2;5;4;4;5;5;4;1;1;4;4;4;1;2;4;4;3;3;5;2;2;5;4;3;4;2;4;5;4;5;3;2;2;2;2;4;3;2;5;5;3;4;5;5;5;4;3;2;2;2;4;3;5;3;5;5;3;4;2;3;3;4;1;4;5;1;3;2;4
FR26;FR;Armateur et patron-pecheur;Bretagne;;;;;;;;4;2;4;2;2;2;5;5;4;4;5;5;4;5;5;;2;1;3;4;1;1;4;4;4;5;5;4;5;4;4;5;4;5;4;5;5;5;4;1;4;4;4;2;5;4;5;4;5;5;5;5;5;4;4;4;4;4;5;4;5;5;5;5;4;4;4;4;4;4;2;5;1;2;3;4;5
FR27;FR;Armateur et patron-pecheur;Bretagne;Entre 10 et 15 ans;35-44;Homme;Non;Non;Non;Non;3;3;3;3;3;3;3;1;2;3;3;3;5;5;3;3;5;3;3;3;3;3;5;3;3;4;4;2;3;5;4;5;3;3;4;4;4;4;3;2;4;3;3;1;3;3;4;4;4;3;5;4;5;3;5;3;3;1;5;5;3;3;4;5;5;1;3;3;3;1;1;3;4;2;3;5;1
FR28;FR;Patron-pecheur;Autre;Entre 10 et 15 ans;18-24;Homme;Oui;Non;Non;Non;3;3;3;3;4;4;3;4;3;2;2;4;3;4;3;1;2;5;5;5;3;4;5;3;5;4;4;3;4;5;5;3;4;4;5;4;3;5;4;1;3;3;4;2;4;3;3;4;4;4;4;2;4;5;4;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;2;4;5
