Participant,Dimension,Item,Reponse
1,Leadership,LDS2,4
1,Leadership,LDS3,3
1,Leadership,LDS4,3
1,Leadership,LDS5,5
1,Leadership,LDS6,1
1,Normes Subjectives,NSUB1,3
1,Normes Subjectives,NSUB2,2
1,Normes Subjectives,NSUB3,1
1,Normes Subjectives,NSUB4,3
1,Normes Subjectives,NSUB5,4
1,Conditions Facilitantes,CF1,5
1,Conditions Facilitantes,CF2,2
1,Conditions Facilitantes,CF3,2
1,Conditions Facilitantes,CF4,5
1,Conditions Facilitantes,CF5,5
1,Conditions Facilitantes,CF6,4
1,Conditions Facilitantes,CF7,5
1,Conditions Facilitantes,CF8,5
1,Attente Face Effort,AFE1,4
1,Attente Face Effort,AFE2,3
1,Attente Face Effort,AFE4,5
1,Attente Face Effort,AFE5,4
1,Attente Face Performance,APF1,4
1,Attente Face Performance,APF2,5
1,Attente Face Performance,APF3,5
1,Attente Face Performance,APF4,5
1,Attente Face Performance,APF5,5
1,Attente Face Performance,APF6,4
1,Image Esperee ID Pro,IEIP1,4
1,Image Esperee ID Pro,IEIP2,4
1,Image Esperee ID Pro,IEIP3,3
1,Image Esperee ID Pro,IEIP4,1
1,Motivation,MOT1,4
1,Motivation,MOT2,4
1,Motivation,MOT3,4
1,Motivation,MOT4,4
1,Motivation,MOT5,5
1,Motivation,MOT6,5
1,Motivation,MOT7,5
1,Motivation,MOT8,5
1,Motivation,MOT9,3
1,Intention Adoption,INTU1,5
2,Leadership,LDS2,4
2,Leadership,LDS3,3
2,Leadership,LDS4,1
2,Leadership,LDS5,3
2,Leadership,LDS6,2
2,Normes Subjectives,NSUB1,3
2,Normes Subjectives,NSUB2,4
2,Normes Subjectives,NSUB3,2
2,Normes Subjectives,NSUB4,2
2,Normes Subjectives,NSUB5,3
2,Conditions Facilitantes,CF1,4
2,Conditions Facilitantes,CF2,2
2,Conditions Facilitantes,CF3,1
2,Conditions Facilitantes,CF4,5
2,Conditions Facilitantes,CF5,4
2,Conditions Facilitantes,CF6,3
2,Conditions Facilitantes,CF7,3
2,Conditions Facilitantes,CF8,3
2,Attente Face Effort,AFE1,3
2,Attente Face Effort,AFE2,2
2,Attente Face Effort,AFE4,3
2,Attente Face Effort,AFE5,3
2,Attente Face Performance,APF1,3
2,Attente Face Performance,APF2,3
2,Attente Face Performance,APF3,4
2,Attente Face Performance,APF4,4
2,Attente Face Performance,APF5,5
2,Attente Face Performance,APF6,3
2,Image Esperee ID Pro,IEIP1,4
2,Image Esperee ID Pro,IEIP2,5
2,Image Esperee ID Pro,IEIP3,3
2,Image Esperee ID Pro,IEIP4,2
2,Motivation,MOT1,3
2,Motivation,MOT2,3
2,Motivation,MOT3,4
2,Motivation,MOT4,3
2,Motivation,MOT5,3
2,Motivation,MOT6,4
2,Motivation,MOT7,4
2,Motivation,MOT8,4
2,Motivation,MOT9,3
2,Intention Adoption,INTU1,3
3,Leadership,LDS2,4
3,Leadership,LDS3,2
3,Leadership,LDS4,2
3,Leadership,LDS5,5
3,Leadership,LDS6,1
3,Normes Subjectives,NSUB1,3
3,Normes Subjectives,NSUB2,2
3,Normes Subjectives,NSUB3,2
3,Normes Subjectives,NSUB4,2
3,Normes Subjectives,NSUB5,4
3,Conditions Facilitantes,CF1,5
3,Conditions Facilitantes,CF2,5
3,Conditions Facilitantes,CF3,1
3,Conditions Facilitantes,CF4,5
3,Conditions Facilitantes,CF5,5
3,Conditions Facilitantes,CF6,4
3,Conditions Facilitantes,CF7,4
3,Conditions Facilitantes,CF8,4
3,Attente Face Effort,AFE1,3
3,Attente Face Effort,AFE2,4
3,Attente Face Effort,AFE4,4
3,Attente Face Effort,AFE5,3
3,Attente Face Performance,APF1,3
3,Attente Face Performance,APF2,2
3,Attente Face Performance,APF3,5
3,Attente Face Performance,APF4,5
3,Attente Face Performance,APF5,5
3,Attente Face Performance,APF6,3
3,Image Esperee ID Pro,IEIP1,5
3,Image Esperee ID Pro,IEIP2,3
3,Image Esperee ID Pro,IEIP3,3
3,Image Esperee ID Pro,IEIP4,4
3,Motivation,MOT1,3
3,Motivation,MOT2,5
3,Motivation,MOT3,5
3,Motivation,MOT4,3
3,Motivation,MOT5,5
3,Motivation,MOT6,5
3,Motivation,MOT7,5
3,Motivation,MOT8,5
3,Motivation,MOT9,4
3,Intention Adoption,INTU1,5
4,Leadership,LDS2,3
4,Leadership,LDS3,4
4,Leadership,LDS4,3
4,Leadership,LDS5,3
4,Leadership,LDS6,3
4,Normes Subjectives,NSUB1,4
4,Normes Subjectives,NSUB2,2
4,Normes Subjectives,NSUB3,3
4,Normes Subjectives,NSUB4,4
4,Normes Subjectives,NSUB5,2
4,Conditions Facilitantes,CF1,4
4,Conditions Facilitantes,CF2,4
4,Conditions Facilitantes,CF3,1
4,Conditions Facilitantes,CF4,4
4,Conditions Facilitantes,CF5,4
4,Conditions Facilitantes,CF6,3
4,Conditions Facilitantes,CF7,4
4,Conditions Facilitantes,CF8,4
4,Attente Face Effort,AFE1,4
4,Attente Face Effort,AFE2,4
4,Attente Face Effort,AFE4,5
4,Attente Face Effort,AFE5,4
4,Attente Face Performance,APF1,4
4,Attente Face Performance,APF2,5
4,Attente Face Performance,APF3,3
4,Attente Face Performance,APF4,4
4,Attente Face Performance,APF5,2
4,Attente Face Performance,APF6,3
4,Image Esperee ID Pro,IEIP1,5
4,Image Esperee ID Pro,IEIP2,4
4,Image Esperee ID Pro,IEIP3,2
4,Image Esperee ID Pro,IEIP4,2
4,Motivation,MOT1,3
4,Motivation,MOT2,4
4,Motivation,MOT3,4
4,Motivation,MOT4,2
4,Motivation,MOT5,4
4,Motivation,MOT6,4
4,Motivation,MOT7,4
4,Motivation,MOT8,4
4,Motivation,MOT9,4
4,Intention Adoption,INTU1,4
5,Leadership,LDS2,3
5,Leadership,LDS3,3
5,Leadership,LDS4,3
5,Leadership,LDS5,3
5,Leadership,LDS6,3
5,Normes Subjectives,NSUB1,4
5,Normes Subjectives,NSUB2,3
5,Normes Subjectives,NSUB3,3
5,Normes Subjectives,NSUB4,4
5,Normes Subjectives,NSUB5,4
5,Conditions Facilitantes,CF1,4
5,Conditions Facilitantes,CF2,2
5,Conditions Facilitantes,CF3,2
5,Conditions Facilitantes,CF4,5
5,Conditions Facilitantes,CF5,4
5,Conditions Facilitantes,CF6,4
5,Conditions Facilitantes,CF7,4
5,Conditions Facilitantes,CF8,4
5,Attente Face Effort,AFE1,4
5,Attente Face Effort,AFE2,3
5,Attente Face Effort,AFE4,4
5,Attente Face Effort,AFE5,4
5,Attente Face Performance,APF1,3
5,Attente Face Performance,APF2,4
5,Attente Face Performance,APF3,5
5,Attente Face Performance,APF4,4
5,Attente Face Performance,APF5,4
5,Attente Face Performance,APF6,4
5,Image Esperee ID Pro,IEIP1,4
5,Image Esperee ID Pro,IEIP2,4
5,Image Esperee ID Pro,IEIP3,4
5,Image Esperee ID Pro,IEIP4,3
5,Motivation,MOT1,4
5,Motivation,MOT2,4
5,Motivation,MOT3,4
5,Motivation,MOT4,4
5,Motivation,MOT5,4
5,Motivation,MOT6,5
5,Motivation,MOT7,5
5,Motivation,MOT8,5
5,Motivation,MOT9,4
5,Intention Adoption,INTU1,4
6,Leadership,LDS2,4
6,Leadership,LDS3,3
6,Leadership,LDS4,2
6,Leadership,LDS5,2
6,Leadership,LDS6,3
6,Normes Subjectives,NSUB1,4
6,Normes Subjectives,NSUB2,2
6,Normes Subjectives,NSUB3,2
6,Normes Subjectives,NSUB4,2
6,Normes Subjectives,NSUB5,2
6,Conditions Facilitantes,CF1,5
6,Conditions Facilitantes,CF2,4
6,Conditions Facilitantes,CF3,2
6,Conditions Facilitantes,CF4,5
6,Conditions Facilitantes,CF5,4
6,Conditions Facilitantes,CF6,5
6,Conditions Facilitantes,CF7,2
6,Conditions Facilitantes,CF8,3
6,Attente Face Effort,AFE1,4
6,Attente Face Effort,AFE2,4
6,Attente Face Effort,AFE4,5
6,Attente Face Effort,AFE5,4
6,Attente Face Performance,APF1,4
6,Attente Face Performance,APF2,5
6,Attente Face Performance,APF3,5
6,Attente Face Performance,APF4,5
6,Attente Face Performance,APF5,5
6,Attente Face Performance,APF6,4
6,Image Esperee ID Pro,IEIP1,4
6,Image Esperee ID Pro,IEIP2,4
6,Image Esperee ID Pro,IEIP3,4
6,Image Esperee ID Pro,IEIP4,4
6,Motivation,MOT1,3
6,Motivation,MOT2,4
6,Motivation,MOT3,4
6,Motivation,MOT4,3
6,Motivation,MOT5,4
6,Motivation,MOT6,5
6,Motivation,MOT7,4
6,Motivation,MOT8,5
6,Motivation,MOT9,4
6,Intention Adoption,INTU1,4
7,Leadership,LDS2,4
7,Leadership,LDS3,3
7,Leadership,LDS4,3
7,Leadership,LDS5,3
7,Leadership,LDS6,4
7,Normes Subjectives,NSUB1,4
7,Normes Subjectives,NSUB2,2
7,Normes Subjectives,NSUB3,5
7,Normes Subjectives,NSUB4,5
7,Normes Subjectives,NSUB5,5
7,Conditions Facilitantes,CF1,5
7,Conditions Facilitantes,CF2,1
7,Conditions Facilitantes,CF3,2
7,Conditions Facilitantes,CF4,5
7,Conditions Facilitantes,CF5,5
7,Conditions Facilitantes,CF6,3
7,Conditions Facilitantes,CF7,5
7,Conditions Facilitantes,CF8,5
7,Attente Face Effort,AFE1,4
7,Attente Face Effort,AFE2,2
7,Attente Face Effort,AFE4,5
7,Attente Face Effort,AFE5,1
7,Attente Face Performance,APF1,4
7,Attente Face Performance,APF2,3
7,Attente Face Performance,APF3,4
7,Attente Face Performance,APF4,5
7,Attente Face Performance,APF5,5
7,Attente Face Performance,APF6,4
7,Image Esperee ID Pro,IEIP1,5
7,Image Esperee ID Pro,IEIP2,5
7,Image Esperee ID Pro,IEIP3,5
7,Image Esperee ID Pro,IEIP4,5
7,Motivation,MOT1,5
7,Motivation,MOT2,5
7,Motivation,MOT3,4
7,Motivation,MOT4,5
7,Motivation,MOT5,4
7,Motivation,MOT6,5
7,Motivation,MOT7,5
7,Motivation,MOT8,5
7,Motivation,MOT9,5
7,Intention Adoption,INTU1,4
8,Leadership,LDS2,5
8,Leadership,LDS3,4
8,Leadership,LDS4,4
8,Leadership,LDS5,4
8,Leadership,LDS6,3
8,Normes Subjectives,NSUB1,4
8,Normes Subjectives,NSUB2,2
8,Normes Subjectives,NSUB3,3
8,Normes Subjectives,NSUB4,4
8,Normes Subjectives,NSUB5,4
8,Conditions Facilitantes,CF1,2
8,Conditions Facilitantes,CF2,3
8,Conditions Facilitantes,CF3,1
8,Conditions Facilitantes,CF4,5
8,Conditions Facilitantes,CF5,5
8,Conditions Facilitantes,CF6,5
8,Conditions Facilitantes,CF7,4
8,Conditions Facilitantes,CF8,4
8,Attente Face Effort,AFE1,5
8,Attente Face Effort,AFE2,4
8,Attente Face Effort,AFE4,4
8,Attente Face Effort,AFE5,2
8,Attente Face Performance,APF1,3
8,Attente Face Performance,APF2,3
8,Attente Face Performance,APF3,4
8,Attente Face Performance,APF4,5
8,Attente Face Performance,APF5,5
8,Attente Face Performance,APF6,3
8,Image Esperee ID Pro,IEIP1,4
8,Image Esperee ID Pro,IEIP2,5
8,Image Esperee ID Pro,IEIP3,5
8,Image Esperee ID Pro,IEIP4,2
