Rep,LDS2,LDS3,LDS4,LDS5,LDS6,NSUB1,NSUB2,NSUB3,NSUB4,NSUB5,CF1,CF2,CF3,CF4,CF5,CF6,CF7,CF8,AFE1,AFE2,AFE4,AFE5,APF1,APF2,APF3,APF4,APF5,APF6,IEIP1,IEIP2,IEIP3,IEIP4,MOT1,MOT2,MOT3,MOT4,MOT5,MOT6,MOT7,MOT8,MOT9,INTU1
1,4,3,3,5,1,3,2,1,3,4,5,2,2,5,5,4,5,5,4,3,5,4,4,5,5,5,5,4,4,4,3,1,4,4,4,4,5,5,5,5,3,5
2,4,3,1,3,2,3,4,2,2,3,4,2,1,5,4,3,3,3,3,2,3,3,3,3,4,4,5,3,4,5,3,2,3,3,4,3,3,4,4,4,3,3
3,4,2,2,5,1,3,2,2,2,4,5,5,1,5,5,4,4,4,3,4,4,3,3,2,5,5,5,3,5,3,3,4,3,5,5,3,5,5,5,5,4,5
4,3,4,3,3,3,4,2,3,4,2,4,4,1,4,4,3,4,4,4,4,5,4,4,5,3,4,2,3,5,4,2,2,3,4,4,2,4,4,4,4,4,4
5,3,3,3,3,3,4,3,3,4,4,4,2,2,5,4,4,4,4,4,3,4,4,3,4,5,4,4,4,4,4,4,3,4,4,4,4,4,5,5,5,4,4
6,4,3,2,2,3,4,2,2,2,2,5,4,2,5,4,5,2,3,4,4,5,4,4,5,5,5,5,4,4,4,4,4,3,4,4,3,4,5,4,5,4,4
7,4,3,3,3,4,4,2,5,5,5,5,1,2,5,5,3,5,5,4,2,5,1,4,3,4,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,4
8,5,4,4,4,3,4,2,3,4,4,2,3,1,5,5,5,4,4,5,4,4,2,3,3,4,5,5,3,4,5,5,2,3,4,5,4,5,5,4,5,4,4
9,3,4,3,4,2,3,3,2,3,4,4,4,3,4,4,2,3,4,4,1,4,4,4,3,4,4,4,4,4,4,4,2,3,4,3,3,3,5,4,4,4,4
10,2,2,2,2,3,3,2,2,2,4,5,4,4,5,4,3,4,2,4,5,3,4,5,4,4,5,5,4,4,5,4,1,2,5,5,3,4,5,5,5,4,3
11,4,4,4,4,1,4,4,4,4,5,5,2,1,4,4,5,4,5,4,4,5,2,4,5,5,4,5,5,4,5,5,1,4,5,4,5,5,5,5,5,4,4
12,4,3,3,5,3,5,3,3,1,5,4,4,3,5,4,5,3,3,3,3,1,4,3,3,3,5,5,3,4,4,4,2,3,4,4,4,3,5,4,5,3,3
13,3,3,4,4,2,4,3,3,3,4,4,3,2,5,5,3,4,4,3,3,4,3,2,2,4,3,4,3,5,4,3,1,3,3,4,4,4,4,2,4,5,4
14,3,3,3,3,3,3,3,4,4,4,3,2,2,5,4,2,4,4,3,3,2,3,3,4,4,5,4,3,4,4,3,3,3,4,4,4,3,5,4,4,3,4
15,3,3,3,3,2,4,2,1,3,4,5,1,3,5,5,4,4,5,4,3,4,3,4,5,3,5,5,5,4,4,5,3,5,5,4,5,5,5,5,5,5,5
16,4,3,3,5,3,4,3,2,4,2,4,4,1,5,5,2,4,4,3,4,4,4,3,3,5,4,5,3,5,5,5,2,3,4,4,4,5,5,5,5,4,3
17,3,3,3,3,2,3,2,2,3,3,4,4,1,4,5,3,3,3,3,3,5,4,3,3,4,4,4,3,5,3,4,2,3,3,4,3,4,5,4,5,4,5
18,1,2,3,4,3,4,1,1,1,5,4,4,1,5,5,3,2,5,3,3,4,5,3,3,5,5,3,3,4,5,5,5,5,5,5,2,4,5,4,5,5,4
19,4,3,3,5,2,4,2,2,4,3,5,5,1,4,5,3,4,4,3,3,4,5,3,3,3,3,3,3,5,4,3,4,3,5,5,3,4,5,4,5,5,4
